final_score, boys_grade9, boys_grade10, boys_grade11, boys_grade12, girls_grade9, girls_grade10, girls_grade11, girls_grade12
        100, 7:50       , 7:30        , 7:19        , 7:07        , 10:00       , 9:50         , 9:40         , 9:40
         99, 7:55       , 7:35        , 7:20        , 7:12        , 10:15       , 9:55         , 9:45         , 9:45
         98, 8:00       , 7:40        , 7:21        , 7:17        , 10:40       , 9:57         , 9:47         , 9:47
         97, 8:05       , 7:45        , 7:22        , 7:22        , 11:00       , 10:00        , 9:50         , 9:50
         96, 8:10       , 7:50        , 7:23        , 7:27        , 11:15       , 10:15        , 9:55         , 9:55
         95, 8:15       , 7:55        , 7:24        , 7:32        , 11:30       , 10:40        , 10:00        , 10:00
         94, 8:20       , 8:00        , 7:25        , 7:37        , 11:35       , 11:00        , 10:15        , 10:15
         93, 8:25       , 8:05        , 7:26        , 7:42        , 11:40       , 11:15        , 10:40        , 10:40
         92, 8:30       , 8:10        , 7:27        , 7:47        , 11:45       , 11:30        , 11:00        , 11:00
         91, 8:35       , 8:15        , 7:28        , 7:52        , 11:50       , 11:35        , 11:15        , 11:15
         90, 8:40       , 8:20        , 7:29        , 7:57        , 12:00       , 11:40        , 11:30        , 11:30
         89, 8:45       , 8:25        , 7:30        , 8:02        , 12:05       , 11:45        , 11:35        , 11:35
         88, 8:50       , 8:30        , 7:31        , 8:07        , 12:10       , 11:50        , 11:40        , 11:40
         87, 8:55       , 8:35        , 7:32        , 8:12        , 12:20       , 12:00        , 11:45        , 11:45
         86, 9:00       , 8:40        , 7:33        , 8:17        , 12:25       , 12:05        , 11:50        , 11:50
         85, 9:05       , 8:45        , 7:34        , 8:22        , 12:30       , 12:10        , 12:00        , 12:00
         84, 9:10       , 8:50        , 7:35        , 8:27        , 12:35       , 12:20        , 12:05        , 12:05
         83, 9:15       , 8:55        , 7:36        , 8:32        , 12:38       , 12:25        , 12:10        , 12:10
         82, 9:20       , 9:00        , 7:37        , 8:37        , 12:40       , 12:30        , 12:20        , 12:20
         81, 9:25       , 9:05        , 7:38        , 8:42        , 12:45       , 12:35        , 12:25        , 12:25
         80, 9:30       , 9:10        , 7:39        , 8:47        , 12:50       , 12:38        , 12:30        , 12:30
         79, 9:35       , 9:15        , 7:40        , 8:52        , 12:53       , 12:40        , 12:35        , 12:35
         78, 9:40       , 9:20        , 7:41        , 8:57        , 12:57       , 12:45        , 12:38        , 12:38
         77, 9:45       , 9:25        , 7:42        , 9:02        , 13:00       , 12:50        , 12:40        , 12:40
         76, 9:50       , 9:30        , 7:43        , 9:07        , 13:05       , 12:53        , 12:45        , 12:45
         75, 9:55       , 9:35        , 7:44        , 9:12        , 13:10       , 12:57        , 12:50        , 12:50
         74, 10:00      , 9:40        , 7:45        , 9:17        , 13:15       , 13:00        , 12:53        , 12:53
         73, 10:05      , 9:45        , 7:46        , 9:22        , 13:25       , 13:05        , 12:57        , 12:57
         72, 10:10      , 9:50        , 7:47        , 9:27        , 13:30       , 13:10        , 13:00        , 13:00
         71, 10:15      , 9:55        , 7:48        , 9:32        , 13:40       , 13:15        , 13:05        , 13:05
         70, 10:20      , 10:00       , 7:49        , 9:37        , 13:45       , 13:25        , 13:10        , 13:10
         69, 10:25      , 10:05       , 7:50        , 9:42        , 13:55       , 13:30        , 13:15        , 13:15
         68, 10:30      , 10:10       , 7:51        , 9:47        , 14:00       , 13:40        , 13:25        , 13:25
         67, 10:35      , 10:15       , 7:52        , 9:52        , 14:10       , 13:45        , 13:30        , 13:30
         66, 10:40      , 10:20       , 7:53        , 9:57        , 14:20       , 13:55        , 13:40        , 13:40
         65, 10:45      , 10:25       , 7:54        , 10:02       , 14:41       , 14:00        , 13:45        , 13:45
         64, 10:50      , 10:30       , 7:55        , 10:07       , 14:52       , 14:10        , 13:55        , 13:55
         63, 10:55      , 10:35       , 7:56        , 10:12       , 15:04       , 14:20        , 14:00        , 14:00
         62, 11:00      , 10:40       , 7:57        , 10:17       , 15:19       , 14:41        , 14:10        , 14:10
         61, 11:05      , 10:45       , 7:58        , 10:22       , 15:28       , 14:52        , 14:20        , 14:20
         60, 11:10      , 10:50       , 7:59        , 10:27       , 15:40       , 15:04        , 14:41        , 14:41
         59, 11:15      , 10:55       , 8:00        , 10:32       , 15:52       , 15:19        , 14:52        , 14:52
         58, 11:20      , 11:00       , 8:01        , 10:37       , 16:03       , 15:28        , 15:04        , 15:04
         57, 11:25      , 11:05       , 8:02        , 10:42       , 16:15       , 15:40        , 15:19        , 15:19
         56, 11:30      , 11:10       , 8:03        , 10:47       , 16:27       , 15:52        , 15:28        , 15:28
         55, 11:35      , 11:15       , 8:04        , 10:52       , 16:39       , 16:03        , 15:40        , 15:40
         54, 11:40      , 11:20       , 8:05        , 10:57       , 16:51       , 16:15        , 15:52        , 15:52
         53, 11:45      , 11:25       , 8:06        , 11:02       , 17:03       , 16:27        , 16:03        , 16:03
         52, 11:50      , 11:30       , 8:07        , 11:07       , 17:15       , 16:39        , 16:15        , 16:15
         51, 11:55      , 11:35       , 8:08        , 11:12       , 17:26       , 16:51        , 16:27        , 16:27
         50, 12:00      , 11:40       , 8:09        , 11:17       , 17:38       , 17:03        , 16:39        , 16:39
