final_score, boys_grade9, boys_grade10, boys_grade11, boys_grade12, girls_grade9, girls_grade10, girls_grade11, girls_grade12
        100,       10.0 ,         9.6 ,         9.5 ,         9.4 ,        11.0 ,         10.8 ,         10.8 ,         10.6
         99,       10.04,         9.64,         9.54,         9.44,        11.04,         10.84,         10.83,         10.64
         98,       10.07,         9.67,         9.57,         9.47,        11.07,         10.87,         10.87,         10.68
         97,       10.11,         9.71,         9.61,         9.51,        11.11,         10.91,         10.9 ,         10.71
         96,       10.14,         9.74,         9.64,         9.54,        11.14,         10.94,         10.94,         10.75
         95,       10.18,         9.78,         9.68,         9.58,        11.18,         10.98,         10.97,         10.79
         94,       10.22,         9.82,         9.72,         9.62,        11.22,         11.02,         11.0 ,         10.83
         93,       10.25,         9.85,         9.75,         9.65,        11.25,         11.05,         11.04,         10.87
         92,       10.29,         9.89,         9.79,         9.69,        11.29,         11.09,         11.07,         10.9
         91,       10.32,         9.92,         9.82,         9.72,        11.32,         11.12,         11.11,         10.94
         90,       10.36,         9.96,         9.86,         9.76,        11.36,         11.16,         11.14,         10.98
         89,       10.4 ,        10.0 ,         9.9 ,         9.8 ,        11.4 ,         11.2 ,         11.17,         11.02
         88,       10.43,        10.03,         9.93,         9.83,        11.43,         11.23,         11.21,         11.06
         87,       10.47,        10.07,         9.97,         9.87,        11.47,         11.27,         11.24,         11.09
         86,       10.5 ,        10.1 ,        10.0 ,         9.9 ,        11.5 ,         11.3 ,         11.28,         11.13
         85,       10.54,        10.14,        10.04,         9.94,        11.54,         11.34,         11.31,         11.17
         84,       10.58,        10.18,        10.08,         9.98,        11.58,         11.38,         11.34,         11.21
         83,       10.61,        10.21,        10.11,        10.01,        11.61,         11.41,         11.38,         11.25
         82,       10.65,        10.25,        10.15,        10.05,        11.65,         11.45,         11.41,         11.28
         81,       10.68,        10.28,        10.18,        10.08,        11.68,         11.48,         11.45,         11.32
         80,       10.72,        10.32,        10.22,        10.12,        11.72,         11.52,         11.48,         11.36
         79,       10.76,        10.36,        10.26,        10.16,        11.76,         11.56,         11.51,         11.4
         78,       10.79,        10.39,        10.29,        10.19,        11.79,         11.59,         11.55,         11.44
         77,       10.83,        10.43,        10.33,        10.23,        11.83,         11.63,         11.58,         11.47
         76,       10.86,        10.46,        10.36,        10.26,        11.86,         11.66,         11.62,         11.51
         75,       10.9 ,        10.5 ,        10.4 ,        10.3 ,        11.9 ,         11.7 ,         11.65,         11.55
         74,       10.94,        10.54,        10.44,        10.34,        11.94,         11.74,         11.68,         11.59
         73,       10.97,        10.57,        10.47,        10.37,        11.97,         11.77,         11.72,         11.63
         72,       11.01,        10.61,        10.51,        10.41,        12.01,         11.81,         11.75,         11.66
         71,       11.04,        10.64,        10.54,        10.44,        12.04,         11.84,         11.79,         11.7
         70,       11.08,        10.68,        10.58,        10.48,        12.08,         11.88,         11.82,         11.74
         69,       11.12,        10.72,        10.62,        10.52,        12.12,         11.92,         11.85,         11.78
         68,       11.15,        10.75,        10.65,        10.55,        12.15,         11.95,         11.89,         11.82
         67,       11.19,        10.79,        10.69,        10.59,        12.19,         11.99,         11.92,         11.85
         66,       11.22,        10.82,        10.72,        10.62,        12.22,         12.02,         11.96,         11.89
         65,       11.26,        10.86,        10.76,        10.66,        12.26,         12.06,         11.99,         11.93
         64,       11.3 ,        10.9 ,        10.8 ,        10.7 ,        12.3 ,         12.1 ,         12.02,         11.97
         63,       11.33,        10.93,        10.83,        10.73,        12.33,         12.13,         12.06,         12.01
         62,       11.37,        10.97,        10.87,        10.77,        12.37,         12.17,         12.09,         12.04
         61,       11.4 ,        11.0 ,        10.9 ,        10.8 ,        12.4 ,         12.2 ,         12.13,         12.08
         60,       11.44,        11.04,        10.94,        10.84,        12.44,         12.24,         12.16,         12.12
         59,       11.48,        11.08,        10.98,        10.88,        12.48,         12.28,         12.19,         12.16
         58,       11.51,        11.11,        11.01,        10.91,        12.51,         12.31,         12.23,         12.2
         57,       11.55,        11.15,        11.05,        10.95,        12.55,         12.35,         12.26,         12.23
         56,       11.58,        11.18,        11.08,        10.98,        12.58,         12.38,         12.3 ,         12.27
         55,       11.62,        11.22,        11.12,        11.02,        12.62,         12.42,         12.33,         12.31
         54,       11.66,        11.26,        11.16,        11.06,        12.66,         12.46,         12.36,         12.35
         53,       11.69,        11.29,        11.19,        11.09,        12.69,         12.49,         12.4 ,         12.39
         52,       11.73,        11.33,        11.23,        11.13,        12.73,         12.53,         12.43,         12.42
         51,       11.76,        11.36,        11.26,        11.16,        12.76,         12.56,         12.47,         12.46
         50,       11.8 ,        11.4 ,        11.3 ,        11.2 ,        12.8 ,         12.6 ,         12.5 ,         12.5
