final_score, boys_grade9, boys_grade10, boys_grade11, boys_grade12, girls_grade9, girls_grade10, girls_grade11, girls_grade12
        100,        2.28,         2.41,         2.46,         2.55,         1.9 ,          2.0 ,          2.03,          2.06
         99,        2.27,         2.4 ,         2.45,         2.54,         1.89,          1.99,          2.02,          2.05
         98,        2.26,         2.39,         2.44,         2.53,         1.88,          1.98,          2.01,          2.04
         97,        2.24,         2.37,         2.42,         2.51,         1.87,          1.97,          2.0 ,          2.03
         96,        2.23,         2.36,         2.41,         2.5 ,         1.86,          1.96,          1.99,          2.02
         95,        2.22,         2.35,         2.4 ,         2.49,         1.85,          1.95,          1.98,          2.01
         94,        2.21,         2.34,         2.39,         2.48,         1.84,          1.94,          1.97,          2.0
         93,        2.2 ,         2.33,         2.38,         2.47,         1.83,          1.92,          1.95,          1.98
         92,        2.18,         2.31,         2.36,         2.45,         1.82,          1.91,          1.94,          1.97
         91,        2.17,         2.3 ,         2.35,         2.44,         1.81,          1.9 ,          1.93,          1.96
         90,        2.16,         2.29,         2.34,         2.43,         1.8 ,          1.89,          1.92,          1.95
         89,        2.15,         2.28,         2.33,         2.42,         1.79,          1.88,          1.91,          1.94
         88,        2.14,         2.27,         2.32,         2.41,         1.78,          1.87,          1.9 ,          1.93
         87,        2.12,         2.25,         2.3 ,         2.39,         1.77,          1.86,          1.89,          1.92
         86,        2.11,         2.24,         2.29,         2.38,         1.76,          1.85,          1.88,          1.91
         85,        2.1 ,         2.23,         2.28,         2.37,         1.75,          1.84,          1.87,          1.9
         84,        2.09,         2.22,         2.27,         2.36,         1.74,          1.83,          1.86,          1.89
         83,        2.08,         2.21,         2.26,         2.35,         1.73,          1.82,          1.85,          1.88
         82,        2.06,         2.19,         2.24,         2.33,         1.72,          1.81,          1.84,          1.87
         81,        2.05,         2.18,         2.23,         2.32,         1.71,          1.79,          1.82,          1.85
         80,        2.04,         2.17,         2.22,         2.31,         1.7 ,          1.78,          1.81,          1.84
         79,        2.03,         2.16,         2.21,         2.3 ,         1.69,          1.77,          1.8 ,          1.83
         78,        2.02,         2.15,         2.2 ,         2.29,         1.68,          1.76,          1.79,          1.82
         77,        2.0 ,         2.13,         2.18,         2.27,         1.67,          1.75,          1.78,          1.81
         76,        1.99,         2.12,         2.17,         2.26,         1.66,          1.74,          1.77,          1.8
         75,        1.98,         2.11,         2.16,         2.25,         1.65,          1.73,          1.76,          1.79
         74,        1.97,         2.1 ,         2.15,         2.24,         1.63,          1.72,          1.75,          1.78
         73,        1.96,         2.09,         2.14,         2.23,         1.62,          1.71,          1.74,          1.77
         72,        1.94,         2.07,         2.12,         2.21,         1.61,          1.7 ,          1.73,          1.76
         71,        1.93,         2.06,         2.11,         2.2 ,         1.6 ,          1.69,          1.72,          1.75
         70,        1.92,         2.05,         2.1 ,         2.19,         1.59,          1.68,          1.71,          1.74
         69,        1.91,         2.04,         2.09,         2.18,         1.58,          1.67,          1.7 ,          1.73
         68,        1.9 ,         2.03,         2.08,         2.17,         1.57,          1.65,          1.68,          1.71
         67,        1.88,         2.01,         2.06,         2.15,         1.56,          1.64,          1.67,          1.7
         66,        1.87,         2.0 ,         2.05,         2.14,         1.55,          1.63,          1.66,          1.69
         65,        1.86,         1.99,         2.04,         2.13,         1.54,          1.62,          1.65,          1.68
         64,        1.85,         1.98,         2.03,         2.12,         1.53,          1.61,          1.64,          1.67
         63,        1.84,         1.97,         2.02,         2.11,         1.52,          1.6 ,          1.63,          1.66
         62,        1.82,         1.95,         2.0 ,         2.09,         1.51,          1.59,          1.62,          1.65
         61,        1.81,         1.94,         1.99,         2.08,         1.5 ,          1.58,          1.61,          1.64
         60,        1.8 ,         1.93,         1.98,         2.07,         1.49,          1.57,          1.6 ,          1.63
         59,        1.79,         1.92,         1.97,         2.06,         1.48,          1.56,          1.59,          1.62
         58,        1.78,         1.91,         1.96,         2.05,         1.47,          1.55,          1.58,          1.61
         57,        1.76,         1.89,         1.94,         2.03,         1.46,          1.54,          1.57,          1.6
         56,        1.75,         1.88,         1.93,         2.02,         1.45,          1.52,          1.55,          1.58
         55,        1.74,         1.87,         1.92,         2.01,         1.44,          1.51,          1.54,          1.57
         54,        1.73,         1.86,         1.91,         2.0 ,         1.43,          1.5 ,          1.53,          1.56
         53,        1.72,         1.85,         1.9 ,         1.99,         1.42,          1.49,          1.52,          1.55
         52,        1.7 ,         1.83,         1.88,         1.97,         1.41,          1.48,          1.51,          1.54
         51,        1.69,         1.82,         1.87,         1.96,         1.4 ,          1.47,          1.5 ,          1.53
         50,        1.68,         1.81,         1.86,         1.95,         1.39,          1.46,          1.49,          1.52
