final_score, boys_grade9, boys_grade10, boys_grade11, boys_grade12, girls_grade9, girls_grade10, girls_grade11, girls_grade12
        100,       230.0,        250.0,        270.0,        290.0,        160.0,         180.0,         200.0,         220.0
         99,       228.2,        248.2,        268.2,        288.2,        158.2,         178.2,         198.2,         218.2
         98,       226.4,        246.4,        266.4,        286.4,        156.4,         176.4,         196.4,         216.4
         97,       224.6,        244.6,        264.6,        284.6,        154.6,         174.6,         194.6,         214.6
         96,       222.8,        242.8,        262.8,        282.8,        152.8,         172.8,         192.8,         212.8
         95,       221.0,        241.0,        261.0,        281.0,        151.0,         171.0,         191.0,         211.0
         94,       219.2,        239.2,        259.2,        279.2,        149.2,         169.2,         189.2,         209.2
         93,       217.4,        237.4,        257.4,        277.4,        147.4,         167.4,         187.4,         207.4
         92,       215.6,        235.6,        255.6,        275.6,        145.6,         165.6,         185.6,         205.6
         91,       213.8,        233.8,        253.8,        273.8,        143.8,         163.8,         183.8,         203.8
         90,       212.0,        232.0,        252.0,        272.0,        142.0,         162.0,         182.0,         202.0
         89,       210.2,        230.2,        250.2,        270.2,        140.2,         160.2,         180.2,         200.2
         88,       208.4,        228.4,        248.4,        268.4,        138.4,         158.4,         178.4,         198.4
         87,       206.6,        226.6,        246.6,        266.6,        136.6,         156.6,         176.6,         196.6
         86,       204.8,        224.8,        244.8,        264.8,        134.8,         154.8,         174.8,         194.8
         85,       203.0,        223.0,        243.0,        263.0,        133.0,         153.0,         173.0,         193.0
         84,       201.2,        221.2,        241.2,        261.2,        131.2,         151.2,         171.2,         191.2
         83,       199.4,        219.4,        239.4,        259.4,        129.4,         149.4,         169.4,         189.4
         82,       197.6,        217.6,        237.6,        257.6,        127.6,         147.6,         167.6,         187.6
         81,       195.8,        215.8,        235.8,        255.8,        125.8,         145.8,         165.8,         185.8
         80,       194.0,        214.0,        234.0,        254.0,        124.0,         144.0,         164.0,         184.0
         79,       192.2,        212.2,        232.2,        252.2,        122.2,         142.2,         162.2,         182.2
         78,       190.4,        210.4,        230.4,        250.4,        120.4,         140.4,         160.4,         180.4
         77,       188.6,        208.6,        228.6,        248.6,        118.6,         138.6,         158.6,         178.6
         76,       186.8,        206.8,        226.8,        246.8,        116.8,         136.8,         156.8,         176.8
         75,       185.0,        205.0,        225.0,        245.0,        115.0,         135.0,         155.0,         175.0
         74,       183.2,        203.2,        223.2,        243.2,        113.2,         133.2,         153.2,         173.2
         73,       181.4,        201.4,        221.4,        241.4,        111.4,         131.4,         151.4,         171.4
         72,       179.6,        199.6,        219.6,        239.6,        109.6,         129.6,         149.6,         169.6
         71,       177.8,        197.8,        217.8,        237.8,        107.8,         127.8,         147.8,         167.8
         70,       176.0,        196.0,        216.0,        236.0,        106.0,         126.0,         146.0,         166.0
         69,       174.2,        194.2,        214.2,        234.2,        104.2,         124.2,         144.2,         164.2
         68,       172.4,        192.4,        212.4,        232.4,        102.4,         122.4,         142.4,         162.4
         67,       170.6,        190.6,        210.6,        230.6,        100.6,         120.6,         140.6,         160.6
         66,       168.8,        188.8,        208.8,        228.8,         98.8,         118.8,         138.8,         158.8
         65,       167.0,        187.0,        207.0,        227.0,         97.0,         117.0,         137.0,         157.0
         64,       165.2,        185.2,        205.2,        225.2,         95.2,         115.2,         135.2,         155.2
         63,       163.4,        183.4,        203.4,        223.4,         93.4,         113.4,         133.4,         153.4
         62,       161.6,        181.6,        201.6,        221.6,         91.6,         111.6,         131.6,         151.6
         61,       159.8,        179.8,        199.8,        219.8,         89.8,         109.8,         129.8,         149.8
         60,       158.0,        178.0,        198.0,        218.0,         88.0,         108.0,         128.0,         148.0
         59,       156.2,        176.2,        196.2,        216.2,         86.2,         106.2,         126.2,         146.2
         58,       154.4,        174.4,        194.4,        214.4,         84.4,         104.4,         124.4,         144.4
         57,       152.6,        172.6,        192.6,        212.6,         82.6,         102.6,         122.6,         142.6
         56,       150.8,        170.8,        190.8,        210.8,         80.8,         100.8,         120.8,         140.8
         55,       149.0,        169.0,        189.0,        209.0,         79.0,          99.0,         119.0,         139.0
         54,       147.2,        167.2,        187.2,        207.2,         77.2,          97.2,         117.2,         137.2
         53,       145.4,        165.4,        185.4,        205.4,         75.4,          95.4,         115.4,         135.4
         52,       143.6,        163.6,        183.6,        203.6,         73.6,          93.6,         113.6,         133.6
         51,       141.8,        161.8,        181.8,        201.8,         71.8,          91.8,         111.8,         131.8
         50,       140.0,        160.0,        180.0,        200.0,         70.0,          90.0,         110.0,         130.0
