final_score, boys_grade9, boys_grade10, boys_grade11, boys_grade12, girls_grade9, girls_grade10, girls_grade11, girls_grade12
        100,       50.0 ,         55.0,        58.0 ,         60.0,           20,            25,            30,            30
         99,       49.04,         54.0,        57.04,         59.0,             ,              ,              ,              
         98,       48.08,         53.0,        56.08,         58.0,           19,            24,            29,            29
         97,       47.12,         52.0,        55.12,         57.0,             ,              ,              ,              
         96,       46.16,         51.0,        54.16,         56.0,           18,            23,            28,            28
         95,       45.2 ,         50.0,        53.2 ,         55.0,             ,              ,              ,              
         94,       44.24,         49.0,        52.24,         54.0,             ,            22,            27,            27
         93,       43.28,         48.0,        51.28,         53.0,           17,              ,              ,              
         92,       42.32,         47.0,        50.32,         52.0,             ,            21,            26,            26
         91,       41.36,         46.0,        49.36,         51.0,             ,              ,              ,              
         90,       40.4 ,         45.0,        48.4 ,         50.0,           16,            20,            25,            25
         89,       39.44,         44.0,        47.44,         49.0,             ,              ,              ,              
         88,       38.48,         43.0,        46.48,         48.0,             ,            19,            24,            24
         87,       37.52,         42.0,        45.52,         47.0,           15,              ,              ,              
         86,       36.56,         41.0,        44.56,         46.0,             ,            18,            23,            23
         85,       35.6 ,         40.0,        43.6 ,         45.0,             ,              ,              ,              
         84,       34.64,         39.0,        42.64,         44.0,           14,            17,            22,            22
         83,       33.68,         38.0,        41.68,         43.0,             ,              ,              ,              
         82,       32.72,         37.0,        40.72,         42.0,             ,            16,            21,            21
         81,       31.76,         36.0,        39.76,         41.0,           13,              ,              ,              
         80,       30.8 ,         35.0,        38.8 ,         40.0,             ,            15,            20,            20
         79,       29.84,         34.0,        37.84,         39.0,             ,              ,              ,              
         78,       28.88,         33.0,        36.88,         38.0,           12,              ,              ,              
         77,       27.92,         32.0,        35.92,         37.0,             ,            14,            19,            19
         76,       26.96,         31.0,        34.96,         36.0,             ,              ,              ,              
         75,       26.0 ,         30.0,        34.0 ,         35.0,           11,            13,            18,            18
         74,       25.04,         29.0,        33.04,         34.0,             ,              ,              ,              
         73,       24.08,         28.0,        32.08,         33.0,             ,            12,            17,            17
         72,       23.12,         27.0,        31.12,         32.0,           10,            11,            16,            16
         71,       22.16,         26.0,        30.16,         31.0,             ,              ,              ,              
         70,       21.2 ,         25.0,        29.2 ,         30.0,             ,            10,            15,            15
         69,       20.24,         24.0,        28.24,         29.0,            9,              ,            14,            14
         68,       19.28,         23.0,        27.28,         28.0,             ,             9,            13,            13
         67,       18.32,         22.0,        26.32,         27.0,            8,              ,            12,            12
         66,       17.36,         21.0,        25.36,         26.0,             ,             8,            11,            11
         65,       16.4 ,         20.0,        24.4 ,         25.0,             ,              ,            10,            10
         64,       15.44,         19.0,        23.44,         24.0,            7,             7,              ,              
         63,       14.48,         18.0,        22.48,         23.0,             ,              ,              ,              
         62,       13.52,         17.0,        21.52,         22.0,            6,             6,             9,             9
         61,       12.56,         16.0,        20.56,         21.0,             ,              ,              ,              
         60,       11.6 ,         15.0,        19.6 ,         20.0,            5,             5,             8,             8
         59,       10.64,         14.0,        18.64,         19.0,             ,              ,              ,              
         58,        9.68,         13.0,        17.68,         18.0,            4,             4,             7,             7
         57,        8.72,         12.0,        16.72,         17.0,             ,              ,             6,             6
         56,        7.76,         11.0,        15.76,         16.0,            3,              ,              ,              
         55,        6.8 ,         10.0,        14.8 ,         15.0,             ,             3,             5,             5
         54,        5.84,          9.0,        13.84,         14.0,            2,              ,              ,              
         53,        4.88,          8.0,        12.88,         13.0,             ,              ,              ,              
         52,        3.92,          7.0,        11.92,         12.0,            1,             2,              ,              
         51,        2.96,          6.0,        10.96,         11.0,             ,              ,              ,              
         50,        2.0 ,          5.0,        10.0 ,         10.0,             ,             1,             4,             4
         49,            ,             ,             ,             ,             ,              ,              ,              
         48,            ,             ,             ,             ,             ,              ,              ,              
         47,            ,             ,             ,             ,             ,              ,              ,              
         46,            ,             ,             ,             ,             ,              ,              ,              
         45,            ,             ,             ,             ,             ,              ,             3,             3
         44,            ,             ,             ,             ,             ,              ,              ,              
         43,            ,             ,             ,             ,             ,              ,              ,              
         42,            ,             ,             ,             ,             ,              ,              ,              
         41,            ,             ,             ,             ,             ,              ,              ,              
         40,            ,             ,             ,             ,             ,              ,             2,             2
