final_score, boys_grade9, boys_grade10, boys_grade11, boys_grade12, girls_grade9, girls_grade10, girls_grade11, girls_grade12
        100,        70.0,       100.0 ,       100.0 ,       100.0 ,         80,         90 ,        100,        100.0
         99,        68.8,        98.38,        98.38,        98.38,         79,         89,         99,         98.38
         98,        67.6,        96.76,        96.76,        96.76,         78,         88,         98,         96.76
         97,        66.4,        95.14,        95.14,        95.14,         76,         86,         96,         95.14
         96,        65.2,        93.52,        93.52,        93.52,         75,         85,         95,         93.52
         95,        64.0,        91.9 ,        91.9 ,        91.9 ,         73,         83 ,         93 ,         91.9
         94,        62.8,        90.28,        90.28,        90.28,         71,         81,         91,         90.28
         93,        61.6,        88.66,        88.66,        88.66,         70,         80,         90,         88.66
         92,        60.4,        87.04,        87.04,        87.04,         68,         78,         88,         87.04
         91,        59.2,        85.42,        85.42,        85.42,         67,         77,         85.42,         85.42
         90,        58.0,        83.8 ,        83.8 ,        83.8 ,         65,         75 ,         83.8 ,         83.8
         89,        56.8,        82.18,        82.18,        82.18,         64,         74,         82.18,         82.18
         88,        55.6,        80.56,        80.56,        80.56,         63,         73,         80.56,         80.56
         87,        54.4,        78.94,        78.94,        78.94,         61,         71,         78.94,         78.94
         86,        53.2,        77.32,        77.32,        77.32,         60,         70,         77.32,         77.32
         85,        52.0,        75.7 ,        75.7 ,        75.7 ,         58,         68 ,         75.7 ,         75.7
         84,        50.8,        74.08,        74.08,        74.08,         56,         66,         74.08,         74.08
         83,        49.6,        72.46,        72.46,        72.46,         55,         65,         72.46,         72.46
         82,        48.4,        70.84,        70.84,        70.84,         53,         63,         70.84,         70.84
         81,        47.2,        69.22,        69.22,        69.22,         52,         62,         69.22,         69.22
         80,        46.0,        67.6 ,        67.6 ,        67.6 ,         50,         60 ,         67.6 ,         67.6
         79,        44.8,        65.98,        65.98,        65.98,         49,         59,         65.98,         65.98
         78,        43.6,        64.36,        64.36,        64.36,         48,         58,         64.36,         64.36
         77,        42.4,        62.74,        62.74,        62.74,         47,         57,         62.74,         62.74
         76,        41.2,        61.12,        61.12,        61.12,         45,         55,         61.12,         61.12
         75,        40.0,        59.5 ,        59.5 ,        59.5 ,         43,         53 ,         59.5 ,         59.5
         74,        38.8,        57.88,        57.88,        57.88,         41,         51,         57.88,         57.88
         73,        37.6,        56.26,        56.26,        56.26,         40,         50,         56.26,         56.26
         72,        36.4,        54.64,        54.64,        54.64,         38,         48,         54.64,         54.64
         71,        35.2,        53.02,        53.02,        53.02,         37,         47,         53.02,         53.02
         70,        34.0,        51.4 ,        51.4 ,        51.4 ,         35,         45,         51.4 ,         51.4
         69,        32.8,        49.78,        49.78,        49.78,         34,         44,         49.78,         49.78
         68,        31.6,        48.16,        48.16,        48.16,         33,         43,         48.16,         48.16
         67,        30.4,        46.54,        46.54,        46.54,         32,         42,         46.54,         46.54
         66,        29.2,        44.92,        44.92,        44.92,         31,         41,         44.92,         44.92
         65,        28.0,        43.3 ,        43.3 ,        43.3 ,         30,         39 ,         43.3 ,         43.3
         64,        26.8,        41.68,        41.68,        41.68,         29,         37,         41.68,         41.68
         63,        25.6,        40.06,        40.06,        40.06,         28,         35,         40.06,         40.06
         62,        24.4,        38.44,        38.44,        38.44,         27,         33,         38.44,         38.44
         61,        23.2,        36.82,        36.82,        36.82,         26,         32,         36.82,         36.82
         60,        22.0,        35.2 ,        35.2 ,        35.2 ,         25,         30 ,         35.2 ,         35.2
         59,        20.8,        33.58,        33.58,        33.58,         24,         29,         33.58,         33.58
         58,        19.6,        31.96,        31.96,        31.96,         23,         27,         31.96,         31.96
         57,        18.4,        30.34,        30.34,        30.34,         22,         26,         30.34,         30.34
         56,        17.2,        28.72,        28.72,        28.72,         21,         25,         28.72,         28.72
         55,        16.0,        27.1 ,        27.1 ,        27.1 ,         20,         24,         27.1 ,         27.1
         54,        14.8,        25.48,        25.48,        25.48,         19,         23,         25.48,         25.48
         53,        13.6,        23.86,        23.86,        23.86,          18,         22,         23.86,         23.86
         52,        12.4,        22.24,        22.24,        22.24,          17,         21,         22.24,         22.24
         51,        11.2,        20.62,        20.62,        20.62,          16,         20,         20.62,         20.62
         50,        10.0,        19.0 ,        19.0 ,        19.0 ,          15,          19 ,         19.0 ,         19.0
