final_score, boys_grade9, boys_grade10, boys_grade11, boys_grade12, girls_grade9, girls_grade10, girls_grade11, girls_grade12
        100,       140.0,        140.0,        150.0,        150.0,        120.0,         120.0,         140.0,         140.0
         99,            ,             ,             ,             ,             ,              ,              ,            
         98,            ,             ,             ,             ,             ,              ,              ,            
         97,            ,             ,             ,             ,             ,              ,              ,            
         96,            ,             ,             ,             ,             ,              ,              ,            
         95,       130.0,        130.0,        140.0,        140.0,        110.0,         110.0,         130.0,         130.0
         94,            ,             ,             ,             ,             ,              ,              ,            
         93,            ,             ,             ,             ,             ,              ,              ,            
         92,            ,             ,             ,             ,             ,              ,              ,            
         91,            ,             ,             ,             ,             ,              ,              ,            
         90,       120.0,        120.0,        130.0,        130.0,        100.0,         100.0,         120.0,         120.0
         89,            ,             ,             ,             ,             ,              ,              ,            
         88,            ,             ,             ,             ,             ,              ,              ,            
         87,            ,             ,             ,             ,             ,              ,              ,            
         86,            ,             ,             ,             ,             ,              ,              ,            
         85,       111.0,        111.0,        120.0,        120.0,         90.0,          90.0,         110.0,         110.0
         84,            ,             ,             ,             ,             ,              ,              ,            
         83,            ,             ,             ,             ,             ,              ,              ,            
         82,            ,             ,             ,             ,             ,              ,              ,            
         81,            ,             ,             ,             ,             ,              ,              ,            
         80,       110.0,        110.0,        111.0,        111.0,         80.0,          80.0,         100.0,         100.0
         79,            ,             ,             ,             ,             ,              ,              ,            
         78,            ,             ,             ,             ,             ,              ,              ,            
         77,            ,             ,             ,             ,             ,              ,              ,            
         76,            ,             ,             ,             ,             ,              ,              ,            
         75,       101.0,        101.0,        110.0,        110.0,         70.0,          70.0,          90.0,          90.0
         74,            ,             ,             ,             ,             ,              ,              ,            
         73,            ,             ,             ,             ,             ,              ,              ,            
         72,            ,             ,             ,             ,             ,              ,              ,            
         71,            ,             ,             ,             ,             ,              ,              ,            
         70,       100.0,        100.0,        101.0,        101.0,         60.0,          60.0,          80.0,          80.0
         69,            ,             ,             ,             ,             ,              ,              ,            
         68,            ,             ,             ,             ,             ,              ,              ,            
         67,            ,             ,             ,             ,             ,              ,              ,            
         66,            ,             ,             ,             ,             ,              ,              ,            
         65,        91.0,         91.0,        100.0,        100.0,         50.0,          50.0,          70.0,          70.0
         64,            ,             ,             ,             ,             ,              ,              ,            
         63,            ,             ,             ,             ,             ,              ,              ,            
         62,            ,             ,             ,             ,             ,              ,              ,            
         61,            ,             ,             ,             ,             ,              ,              ,            
         60,        90.0,         90.0,         91.0,         91.0,         40.0,          40.0,          60.0,          60.0
         59,            ,             ,             ,             ,             ,              ,              ,            
         58,            ,             ,             ,             ,             ,              ,              ,            
         57,            ,             ,             ,             ,             ,              ,              ,            
         56,            ,             ,             ,             ,             ,              ,              ,            
         55,        81.0,         81.0,         90.0,         90.0,         35.0,          35.0,          50.0,          50.0
         54,            ,             ,             ,             ,             ,              ,              ,            
         53,            ,             ,             ,             ,             ,              ,              ,            
         52,            ,             ,             ,             ,             ,              ,              ,            
         51,            ,             ,             ,             ,             ,              ,              ,            
         50,        80.0,         80.0,         81.0,         81.0,         30.0,          30.0,          40.0,          40.0
