final_score, boys_grade9, boys_grade10, boys_grade11, boys_grade12, girls_grade9, girls_grade10, girls_grade11, girls_grade12
        100,        34.0,         34.0,         34.0,         34.0,         34.0,          34.0,          34.0,          34.0
         99,            ,             ,             ,             ,             ,              ,              ,            
         98,            ,             ,             ,             ,             ,              ,              ,            
         97,            ,             ,             ,             ,             ,              ,              ,            
         96,            ,             ,             ,             ,             ,              ,              ,            
         95,        32.0,         32.0,         32.0,         32.0,         32.0,          32.0,          32.0,          32.0
         94,            ,             ,             ,             ,             ,              ,              ,            
         93,            ,             ,             ,             ,             ,              ,              ,            
         92,            ,             ,             ,             ,             ,              ,              ,            
         91,            ,             ,             ,             ,             ,              ,              ,            
         90,        29.0,         29.0,         29.0,         29.0,         29.0,          29.0,          29.0,          29.0
         89,            ,             ,             ,             ,             ,              ,              ,            
         88,            ,             ,             ,             ,             ,              ,              ,            
         87,            ,             ,             ,             ,             ,              ,              ,            
         86,            ,             ,             ,             ,             ,              ,              ,            
         85,        26.0,         26.0,         26.0,         26.0,         26.0,          26.0,          26.0,          26.0
         84,            ,             ,             ,             ,             ,              ,              ,            
         83,            ,             ,             ,             ,             ,              ,              ,            
         82,            ,             ,             ,             ,             ,              ,              ,            
         81,            ,             ,             ,             ,             ,              ,              ,            
         80,        22.0,         22.0,         22.0,         22.0,         22.0,          22.0,          22.0,          22.0
         79,            ,             ,             ,             ,             ,              ,              ,            
         78,            ,             ,             ,             ,             ,              ,              ,            
         77,            ,             ,             ,             ,             ,              ,              ,            
         76,            ,             ,             ,             ,             ,              ,              ,            
         75,        18.0,         18.0,         18.0,         18.0,         18.0,          18.0,          18.0,          18.0
         74,            ,             ,             ,             ,             ,              ,              ,            
         73,            ,             ,             ,             ,             ,              ,              ,            
         72,            ,             ,             ,             ,             ,              ,              ,            
         71,            ,             ,             ,             ,             ,              ,              ,            
         70,        14.0,         14.0,         14.0,         14.0,         14.0,          14.0,          14.0,          14.0
         69,            ,             ,             ,             ,             ,              ,              ,            
         68,            ,             ,             ,             ,             ,              ,              ,            
         67,            ,             ,             ,             ,             ,              ,              ,            
         66,            ,             ,             ,             ,             ,              ,              ,            
         65,            ,             ,             ,             ,             ,              ,              ,            
         64,            ,             ,             ,             ,             ,              ,              ,            
         63,            ,             ,             ,             ,             ,              ,              ,            
         62,            ,             ,             ,             ,             ,              ,              ,            
         61,            ,             ,             ,             ,             ,              ,              ,            
         60,        11.0,         11.0,         11.0,         11.0,         11.0,          11.0,          11.0,          11.0
         59,            ,             ,             ,             ,             ,              ,              ,            
         58,            ,             ,             ,             ,             ,              ,              ,            
         57,            ,             ,             ,             ,             ,              ,              ,            
         56,            ,             ,             ,             ,             ,              ,              ,            
         55,            ,             ,             ,             ,             ,              ,              ,            
         54,            ,             ,             ,             ,             ,              ,              ,            
         53,            ,             ,             ,             ,             ,              ,              ,            
         52,            ,             ,             ,             ,             ,              ,              ,            
         51,            ,             ,             ,             ,             ,              ,              ,            
         50,         5.0,          5.0,          5.0,          5.0,          5.0,           5.0,           5.0,           5.0
